X,Y,Z,formation
22500,131500,-64.6,SeaFloor
44500,129500,-61.9,SeaFloor
66500,127500,-62,SeaFloor
20500,126000,-65.8,SeaFloor
42500,124000,-63.4,SeaFloor
64500,122000,-57.5,SeaFloor
18500,120500,-59.7,SeaFloor
40500,118500,-58.8,SeaFloor
62500,116500,-51,SeaFloor
16500,115000,-41.4,SeaFloor
38500,113000,-52.6,SeaFloor
60500,111000,-44.5,SeaFloor
14500,109500,-40,SeaFloor
36500,107500,-51.2,SeaFloor
58500,105500,-42.6,SeaFloor
12500,104000,-39.4,SeaFloor
34500,102000,-35.2,SeaFloor
56500,100000,-43.8,SeaFloor
10500,98500,-39.4,SeaFloor
32500,96500,-36.2,SeaFloor
54500,94500,-47.7,SeaFloor
8500,93000,-37,SeaFloor
30500,91000,-32.5,SeaFloor
52500,89000,-47,SeaFloor
6500,87500,-38.7,SeaFloor
28500,85500,-35.4,SeaFloor
50500,83500,-45,SeaFloor
4500,82000,-35.2,SeaFloor
26500,80000,-37.1,SeaFloor
48500,78000,-36.3,SeaFloor
2500,76500,-35.2,SeaFloor
24500,74500,-36.8,SeaFloor
46500,72500,-33.9,SeaFloor
500,71000,-34.9,SeaFloor
22500,69000,-36.9,SeaFloor
44500,67000,-33.6,SeaFloor
66500,65000,-36.1,SeaFloor
20500,63500,-34.9,SeaFloor
42500,61500,-30.4,SeaFloor
64500,59500,-33.3,SeaFloor
18500,58000,-36.9,SeaFloor
40500,56000,-28.7,SeaFloor
62500,54000,-30.7,SeaFloor
16500,52500,-34.4,SeaFloor
38500,50500,-23.4,SeaFloor
60500,48500,-30.3,SeaFloor
14500,47000,-26.1,SeaFloor
36500,45000,-25.6,SeaFloor
58500,43000,-26.2,SeaFloor
12500,41500,-27.1,SeaFloor
34500,39500,-24,SeaFloor
56500,37500,-24.9,SeaFloor
10500,36000,-28.4,SeaFloor
32500,34000,-28.7,SeaFloor
54500,32000,-24.5,SeaFloor
8500,30500,-28.2,SeaFloor
30500,28500,-27.1,SeaFloor
52500,26500,-24.2,SeaFloor
6500,25000,-26.1,SeaFloor
28500,23000,-24.6,SeaFloor
50500,21000,-21.3,SeaFloor
4500,19500,-26.4,SeaFloor
26500,17500,-22.2,SeaFloor
48500,15500,-18.3,SeaFloor
2500,14000,-25.9,SeaFloor
24500,12000,-20,SeaFloor
46500,10000,-12.6,SeaFloor
500,8500,-25,SeaFloor
22500,6500,-17.9,SeaFloor
44500,4500,2.9,SeaFloor
66500,2500,-0.7,SeaFloor
20500,1000,-18.1,SeaFloor
22500,131500,-289.1,m1
44500,129500,-380.5,m1
66500,127500,-476.3,m1
20500,126000,-267.9,m1
42500,124000,-334.9,m1
64500,122000,-419.5,m1
18500,120500,-248.4,m1
40500,118500,-268,m1
62500,116500,-318.2,m1
16500,115000,-217.5,m1
38500,113000,-236.4,m1
60500,111000,-253.5,m1
14500,109500,-201.4,m1
36500,107500,-228.6,m1
58500,105500,-241.2,m1
12500,104000,-188.8,m1
34500,102000,-216.9,m1
56500,100000,-226.1,m1
10500,98500,-187.7,m1
32500,96500,-205.1,m1
54500,94500,-212.9,m1
8500,93000,-179.1,m1
30500,91000,-195.8,m1
52500,89000,-191.7,m1
6500,87500,-177,m1
28500,85500,-179.3,m1
50500,83500,-164.8,m1
4500,82000,-174.6,m1
26500,80000,-157.4,m1
48500,78000,-143.8,m1
2500,76500,-171.7,m1
24500,74500,-153.9,m1
46500,72500,-129,m1
500,71000,-166.9,m1
22500,69000,-138.8,m1
44500,67000,-120.1,m1
66500,65000,-132.3,m1
20500,63500,-135.8,m1
42500,61500,-118.4,m1
64500,59500,-123.5,m1
18500,58000,-130.5,m1
40500,56000,-113.7,m1
62500,54000,-112.5,m1
16500,52500,-118.7,m1
38500,50500,-108,m1
60500,48500,-101.7,m1
14500,47000,-106.1,m1
36500,45000,-101.6,m1
58500,43000,-92.2,m1
12500,41500,-94.5,m1
34500,39500,-95.3,m1
56500,37500,-88.2,m1
10500,36000,-83.6,m1
32500,34000,-85.6,m1
54500,32000,-86.4,m1
8500,30500,-75.6,m1
30500,28500,-74.8,m1
52500,26500,-77.9,m1
6500,25000,-67.8,m1
28500,23000,-64.4,m1
50500,21000,-70.6,m1
4500,19500,-60,m1
26500,17500,-55.3,m1
48500,15500,-64.1,m1
2500,14000,-53,m1
24500,12000,-49.3,m1
46500,10000,-55.9,m1
500,8500,-45.7,m1
22500,6500,-42.3,m1
44500,4500,-47.6,m1
66500,2500,-48,m1
20500,1000,-37.1,m1
22500,131500,-727.7,m4_1
44500,129500,-838.2,m4_1
66500,127500,-988.6,m4_1
20500,126000,-689,m4_1
42500,124000,-782.4,m4_1
64500,122000,-903.6,m4_1
18500,120500,-660.8,m4_1
40500,118500,-754.7,m4_1
62500,116500,-809.3,m4_1
16500,115000,-616,m4_1
38500,113000,-671.6,m4_1
60500,111000,-728.7,m4_1
14500,109500,-491.8,m4_1
36500,107500,-600.1,m4_1
58500,105500,-671.2,m4_1
12500,104000,-424.3,m4_1
34500,102000,-522.1,m4_1
56500,100000,-615.2,m4_1
10500,98500,-367.4,m4_1
32500,96500,-451.2,m4_1
54500,94500,-568.7,m4_1
8500,93000,-327.8,m4_1
30500,91000,-415.4,m4_1
52500,89000,-517.3,m4_1
6500,87500,-286.2,m4_1
28500,85500,-357.1,m4_1
50500,83500,-441.6,m4_1
4500,82000,-247.5,m4_1
26500,80000,-287.6,m4_1
48500,78000,-348.6,m4_1
2500,76500,-220,m4_1
24500,74500,-273.1,m4_1
46500,72500,-292.4,m4_1
500,71000,-183.7,m4_1
22500,69000,-253.6,m4_1
44500,67000,-277.4,m4_1
66500,65000,-310.2,m4_1
20500,63500,-228.9,m4_1
42500,61500,-270.1,m4_1
64500,59500,-296.9,m4_1
18500,58000,-198.8,m4_1
40500,56000,-262.4,m4_1
62500,54000,-279.4,m4_1
16500,52500,-171.8,m4_1
38500,50500,-259.9,m4_1
60500,48500,-265.2,m4_1
14500,47000,-144.8,m4_1
36500,45000,-227.9,m4_1
58500,43000,-246.8,m4_1
12500,41500,-115.8,m4_1
34500,39500,-198.4,m4_1
56500,37500,-222.3,m4_1
10500,36000,-84.1,m4_1
32500,34000,-161.7,m4_1
54500,32000,-189.6,m4_1
8500,30500,-75.6,m4_1
30500,28500,-128.1,m4_1
52500,26500,-165.5,m4_1
6500,25000,-67.8,m4_1
28500,23000,-101,m4_1
50500,21000,-136.9,m4_1
4500,19500,-60,m4_1
26500,17500,-64.7,m4_1
48500,15500,-109.6,m4_1
2500,14000,-53,m4_1
24500,12000,-49.3,m4_1
46500,10000,-82.3,m4_1
500,8500,-45.7,m4_1
22500,6500,-42.3,m4_1
44500,4500,-51.6,m4_1
66500,2500,-112.7,m4_1
20500,1000,-37.1,m4_1
22500,131500,-828.7,m5
44500,129500,-970.4,m5
66500,127500,-1098.1,m5
20500,126000,-780.8,m5
42500,124000,-919.3,m5
64500,122000,-1022.8,m5
18500,120500,-738.6,m5
40500,118500,-874.8,m5
62500,116500,-943.3,m5
16500,115000,-717.7,m5
38500,113000,-788,m5
60500,111000,-864.9,m5
14500,109500,-694.5,m5
36500,107500,-737.3,m5
58500,105500,-808.2,m5
12500,104000,-660,m5
34500,102000,-693.3,m5
56500,100000,-751.6,m5
10500,98500,-629.8,m5
32500,96500,-650.7,m5
54500,94500,-698.7,m5
8500,93000,-582.6,m5
30500,91000,-603.6,m5
52500,89000,-620.8,m5
6500,87500,-468.8,m5
28500,85500,-477.3,m5
50500,83500,-503.9,m5
4500,82000,-363.2,m5
26500,80000,-344.6,m5
48500,78000,-379.6,m5
2500,76500,-296.2,m5
24500,74500,-309.1,m5
46500,72500,-324.9,m5
500,71000,-251.7,m5
22500,69000,-283.2,m5
44500,67000,-314.2,m5
66500,65000,-342.2,m5
20500,63500,-262.2,m5
42500,61500,-289.9,m5
64500,59500,-328.9,m5
18500,58000,-245.2,m5
40500,56000,-273.7,m5
62500,54000,-312.1,m5
16500,52500,-219.5,m5
38500,50500,-259.9,m5
60500,48500,-281.1,m5
14500,47000,-179.7,m5
36500,45000,-227.9,m5
58500,43000,-246.8,m5
12500,41500,-132.6,m5
34500,39500,-198.4,m5
56500,37500,-222.3,m5
10500,36000,-101.2,m5
32500,34000,-161.7,m5
54500,32000,-189.6,m5
8500,30500,-90,m5
30500,28500,-128.1,m5
52500,26500,-165.5,m5
6500,25000,-81.4,m5
28500,23000,-101,m5
50500,21000,-136.9,m5
4500,19500,-64.3,m5
26500,17500,-80.8,m5
48500,15500,-109.6,m5
2500,14000,-53,m5
24500,12000,-64.1,m5
46500,10000,-82.3,m5
500,8500,-45.7,m5
22500,6500,-42.3,m5
44500,4500,-51.6,m5
66500,2500,-112.7,m5
20500,1000,-37.1,m5
22500,131500,-877.9,m5_4
44500,129500,-1124.1,m5_4
66500,127500,-1224.8,m5_4
20500,126000,-830.1,m5_4
42500,124000,-1070.7,m5_4
64500,122000,-1205.5,m5_4
18500,120500,-793.7,m5_4
40500,118500,-1015.2,m5_4
62500,116500,-1169.4,m5_4
16500,115000,-782.9,m5_4
38500,113000,-929.1,m5_4
60500,111000,-1120.6,m5_4
14500,109500,-769,m5_4
36500,107500,-887.5,m5_4
58500,105500,-1059.9,m5_4
12500,104000,-747.9,m5_4
34500,102000,-839.3,m5_4
56500,100000,-986.5,m5_4
10500,98500,-722.9,m5_4
32500,96500,-790.6,m5_4
54500,94500,-921.6,m5_4
8500,93000,-689.5,m5_4
30500,91000,-744,m5_4
52500,89000,-852.9,m5_4
6500,87500,-631.8,m5_4
28500,85500,-677.5,m5_4
50500,83500,-770,m5_4
4500,82000,-553.9,m5_4
26500,80000,-589.2,m5_4
48500,78000,-666.3,m5_4
2500,76500,-468.3,m5_4
24500,74500,-476.3,m5_4
46500,72500,-550.1,m5_4
500,71000,-381.3,m5_4
22500,69000,-379,m5_4
44500,67000,-438.3,m5_4
66500,65000,-497.7,m5_4
20500,63500,-341.4,m5_4
42500,61500,-391.7,m5_4
64500,59500,-421.9,m5_4
18500,58000,-309.9,m5_4
40500,56000,-361.8,m5_4
62500,54000,-386.1,m5_4
16500,52500,-267.5,m5_4
38500,50500,-340,m5_4
60500,48500,-350.1,m5_4
14500,47000,-222.8,m5_4
36500,45000,-287.1,m5_4
58500,43000,-321.7,m5_4
12500,41500,-176.2,m5_4
34500,39500,-254.6,m5_4
56500,37500,-292.2,m5_4
10500,36000,-141.5,m5_4
32500,34000,-220.2,m5_4
54500,32000,-256.4,m5_4
8500,30500,-122,m5_4
30500,28500,-182.6,m5_4
52500,26500,-226.1,m5_4
6500,25000,-106.6,m5_4
28500,23000,-155,m5_4
50500,21000,-189.5,m5_4
4500,19500,-85.7,m5_4
26500,17500,-131.5,m5_4
48500,15500,-162.5,m5_4
2500,14000,-66.4,m5_4
24500,12000,-105.3,m5_4
46500,10000,-136,m5_4
500,8500,-55.6,m5_4
22500,6500,-76.4,m5_4
44500,4500,-100.8,m5_4
66500,2500,-140.9,m5_4
20500,1000,-62.2,m5_4
22500,131500,-977.3,m5_8
44500,129500,-1247.2,m5_8
66500,127500,-1407,m5_8
20500,126000,-905.4,m5_8
42500,124000,-1192,m5_8
64500,122000,-1372.3,m5_8
18500,120500,-864.2,m5_8
40500,118500,-1131.6,m5_8
62500,116500,-1335.3,m5_8
16500,115000,-857.1,m5_8
38500,113000,-1045.1,m5_8
60500,111000,-1292.9,m5_8
14500,109500,-837.7,m5_8
36500,107500,-1004.9,m5_8
58500,105500,-1224.4,m5_8
12500,104000,-814.1,m5_8
34500,102000,-954,m5_8
56500,100000,-1165.8,m5_8
10500,98500,-780,m5_8
32500,96500,-909.7,m5_8
54500,94500,-1093.7,m5_8
8500,93000,-755.7,m5_8
30500,91000,-857.5,m5_8
52500,89000,-1021.7,m5_8
6500,87500,-706,m5_8
28500,85500,-779.9,m5_8
50500,83500,-919.3,m5_8
4500,82000,-643.9,m5_8
26500,80000,-717.8,m5_8
48500,78000,-813.8,m5_8
2500,76500,-595,m5_8
24500,74500,-666.8,m5_8
46500,72500,-740.4,m5_8
500,71000,-526.4,m5_8
22500,69000,-608,m5_8
44500,67000,-686.8,m5_8
66500,65000,-750.7,m5_8
20500,63500,-559.1,m5_8
42500,61500,-611.1,m5_8
64500,59500,-701.1,m5_8
18500,58000,-449.6,m5_8
40500,56000,-559.9,m5_8
62500,54000,-637.6,m5_8
16500,52500,-342.9,m5_8
38500,50500,-483.2,m5_8
60500,48500,-566.5,m5_8
14500,47000,-271,m5_8
36500,45000,-378.5,m5_8
58500,43000,-507.1,m5_8
12500,41500,-200.7,m5_8
34500,39500,-312.5,m5_8
56500,37500,-376,m5_8
10500,36000,-160.1,m5_8
32500,34000,-268.5,m5_8
54500,32000,-315.4,m5_8
8500,30500,-156.3,m5_8
30500,28500,-237.9,m5_8
52500,26500,-277.3,m5_8
6500,25000,-160.6,m5_8
28500,23000,-208.4,m5_8
50500,21000,-241.9,m5_8
4500,19500,-152.1,m5_8
26500,17500,-181.3,m5_8
48500,15500,-218.2,m5_8
2500,14000,-140.7,m5_8
24500,12000,-158,m5_8
46500,10000,-187.4,m5_8
500,8500,-131.3,m5_8
22500,6500,-137.5,m5_8
44500,4500,-155.7,m5_8
66500,2500,-184.9,m5_8
20500,1000,-123.2,m5_8
22500,131500,-977.3,m6
44500,129500,-1247.2,m6
66500,127500,-1407,m6
20500,126000,-905.4,m6
42500,124000,-1192,m6
64500,122000,-1372.3,m6
18500,120500,-864.2,m6
40500,118500,-1131.6,m6
62500,116500,-1335.3,m6
16500,115000,-857.1,m6
38500,113000,-1045.1,m6
60500,111000,-1292.9,m6
14500,109500,-837.7,m6
36500,107500,-1004.9,m6
58500,105500,-1224.4,m6
12500,104000,-814.1,m6
34500,102000,-954,m6
56500,100000,-1165.8,m6
10500,98500,-798.5,m6
32500,96500,-909.7,m6
54500,94500,-1093.7,m6
8500,93000,-761.5,m6
30500,91000,-860.6,m6
52500,89000,-1021.7,m6
6500,87500,-721.1,m6
28500,85500,-799.6,m6
50500,83500,-933.5,m6
4500,82000,-681,m6
26500,80000,-751.8,m6
48500,78000,-847,m6
2500,76500,-645.5,m6
24500,74500,-691.5,m6
46500,72500,-778.6,m6
500,71000,-602.2,m6
22500,69000,-617.9,m6
44500,67000,-724,m6
66500,65000,-779.4,m6
20500,63500,-587.4,m6
42500,61500,-673.8,m6
64500,59500,-724.4,m6
18500,58000,-527,m6
40500,56000,-629.2,m6
62500,54000,-659.6,m6
16500,52500,-466.4,m6
38500,50500,-566.9,m6
60500,48500,-594,m6
14500,47000,-391.3,m6
36500,45000,-513.1,m6
58500,43000,-536,m6
12500,41500,-292.1,m6
34500,39500,-386.2,m6
56500,37500,-437.9,m6
10500,36000,-224.1,m6
32500,34000,-320.7,m6
54500,32000,-383.6,m6
8500,30500,-195,m6
30500,28500,-288.2,m6
52500,26500,-341.3,m6
6500,25000,-192.9,m6
28500,23000,-264.3,m6
50500,21000,-297.5,m6
4500,19500,-189.6,m6
26500,17500,-235.7,m6
48500,15500,-270.6,m6
2500,14000,-176.6,m6
24500,12000,-194,m6
46500,10000,-235.9,m6
500,8500,-165.6,m6
22500,6500,-162.5,m6
44500,4500,-202.3,m6
66500,2500,-207.4,m6
20500,1000,-140.3,m6
22500,131500,-1226.3,o1
44500,129500,-1476,o1
66500,127500,-1635.5,o1
20500,126000,-1206.1,o1
42500,124000,-1428.1,o1
64500,122000,-1573.8,o1
18500,120500,-1194.3,o1
40500,118500,-1395.3,o1
62500,116500,-1512.7,o1
16500,115000,-1171.9,o1
38500,113000,-1315.1,o1
60500,111000,-1436.5,o1
14500,109500,-1146.4,o1
36500,107500,-1272.1,o1
58500,105500,-1371.5,o1
12500,104000,-1126.4,o1
34500,102000,-1212.8,o1
56500,100000,-1319.3,o1
10500,98500,-1101.2,o1
32500,96500,-1172.1,o1
54500,94500,-1253.1,o1
8500,93000,-1026.2,o1
30500,91000,-1137.5,o1
52500,89000,-1191.5,o1
6500,87500,-926.3,o1
28500,85500,-1069.1,o1
50500,83500,-1087.2,o1
4500,82000,-839.9,o1
26500,80000,-932.1,o1
48500,78000,-950.7,o1
2500,76500,-780.7,o1
24500,74500,-845.4,o1
46500,72500,-850.7,o1
500,71000,-719.8,o1
22500,69000,-751.9,o1
44500,67000,-795.1,o1
66500,65000,-914.6,o1
20500,63500,-696.7,o1
42500,61500,-748.6,o1
64500,59500,-871.8,o1
18500,58000,-645.2,o1
40500,56000,-686.8,o1
62500,54000,-786.8,o1
16500,52500,-590.8,o1
38500,50500,-623.7,o1
60500,48500,-693.2,o1
14500,47000,-494.5,o1
36500,45000,-561.8,o1
58500,43000,-622,o1
12500,41500,-387,o1
34500,39500,-490.9,o1
56500,37500,-545.5,o1
10500,36000,-320.2,o1
32500,34000,-411.6,o1
54500,32000,-468.9,o1
8500,30500,-283.6,o1
30500,28500,-338.2,o1
52500,26500,-412.4,o1
6500,25000,-247.4,o1
28500,23000,-288,o1
50500,21000,-334.4,o1
4500,19500,-199.2,o1
26500,17500,-238.5,o1
48500,15500,-275.9,o1
2500,14000,-176.6,o1
24500,12000,-194,o1
46500,10000,-235.9,o1
500,8500,-165.6,o1
22500,6500,-162.5,o1
44500,4500,-202.3,o1
66500,2500,-208.5,o1
20500,1000,-140.3,o1
